totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
423000;338;12770;12107;9764;2022-04-22T05:44:12.015;
424000;315;12448;11763;9981;2022-04-22T05:46:27.900;
425000;331;12523;11855;9512;2022-04-22T05:48:42.241;
426000;328;12486;11813;10494;2022-04-22T05:50:56.671;
427000;321;12671;11992;9963;2022-04-22T05:53:14.919;
428000;315;12554;11869;10468;2022-04-22T05:55:31.937;
429000;295;12775;12070;10246;2022-04-22T05:57:54.785;
430000;350;13253;12603;9458;2022-04-22T06:00:20.475;
431000;359;12757;12117;9762;2022-04-22T06:02:39.787;
432000;329;12568;11896;10269;2022-04-22T06:04:55.283;
433000;321;12513;11835;9828;2022-04-22T06:07:11.551;
434000;343;12675;12017;9846;2022-04-22T06:09:27.947;
435000;355;13128;12483;9362;2022-04-22T06:11:51.449;
436000;341;12806;12148;9335;2022-04-22T06:14:10.348;
437000;334;12621;11954;9867;2022-04-22T06:16:28.987;
438000;352;12326;11678;10321;2022-04-22T06:18:40.895;
439000;333;12382;11715;10053;2022-04-22T06:20:52.947;
440000;298;12687;11985;10502;2022-04-22T06:23:11.449;
441000;361;12902;12263;10008;2022-04-22T06:25:31.895;
442000;318;12630;11948;10326;2022-04-22T06:27:50.067;
443000;328;12521;11850;10203;2022-04-22T06:30:05.182;
444000;324;12907;12231;9346;2022-04-22T06:32:25.400;
445000;354;12981;12334;9395;2022-04-22T06:34:47.160;
446000;354;13012;12367;9599;2022-04-22T06:37:08.528;
447000;343;12849;12191;9522;2022-04-22T06:39:30.350;
448000;345;12609;11955;9988;2022-04-22T06:41:48.884;
449000;330;12797;12126;10132;2022-04-22T06:44:08.985;
450000;319;12455;11775;9881;2022-04-22T06:46:22.158;
451000;352;12860;12212;9456;2022-04-22T06:48:43.660;
452000;310;12652;11962;9894;2022-04-22T06:51:02.578;
